00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 6, length 64
00:00:00.012283 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 7, length 64
00:00:00.023913 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 8, length 64
00:00:00.036624 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 9, length 64
00:00:00.048094 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 10, length 64
00:00:00.060125 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 11, length 64
00:00:00.071992 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 12, length 64
00:00:00.085061 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 13, length 64
00:00:00.096764 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 14, length 64
00:00:00.112922 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 15, length 64
00:00:00.124143 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 16, length 64
00:00:00.135874 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 17, length 64
00:00:00.148085 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 18, length 64
00:00:00.160286 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 19, length 64
00:00:00.172977 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 20, length 64
00:00:00.186228 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 21, length 64
00:00:00.196971 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 22, length 64
00:00:00.212648 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 23, length 64
00:00:00.228746 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 24, length 64
00:00:00.239992 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 25, length 64
00:00:00.252165 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 26, length 64
00:00:00.264905 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 27, length 64
00:00:00.276129 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 28, length 64
00:00:00.289856 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 29, length 64
00:00:00.300110 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 30, length 64
00:00:00.311863 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 31, length 64
00:00:00.324054 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 32, length 64
00:00:00.339697 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 33, length 64
00:00:00.349700 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 30681, seq 34, length 64
