00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 5, length 64
00:00:00.012516 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 6, length 64
00:00:00.028135 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 7, length 64
00:00:00.040358 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 8, length 64
00:00:00.057976 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 9, length 64
00:00:00.070674 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 10, length 64
00:00:00.081458 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 11, length 64
00:00:00.092214 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 12, length 64
00:00:00.108323 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 13, length 64
00:00:00.121978 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 14, length 64
00:00:00.132284 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 15, length 64
00:00:00.144493 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 16, length 64
00:00:00.160611 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 17, length 64
00:00:00.172327 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 18, length 64
00:00:00.184052 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 19, length 64
00:00:00.196285 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 20, length 64
00:00:00.208526 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 21, length 64
00:00:00.224143 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 22, length 64
00:00:00.238309 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 23, length 64
00:00:00.248307 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 24, length 64
00:00:00.260309 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 25, length 64
00:00:00.272045 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 26, length 64
00:00:00.284267 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 27, length 64
00:00:00.295992 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 28, length 64
00:00:00.309194 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 29, length 64
00:00:00.320431 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 30, length 64
00:00:00.332653 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 31, length 64
00:00:00.344401 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 32, length 64
00:00:00.356621 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 33, length 64
00:00:00.371761 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 34, length 64
00:00:00.382523 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 35, length 64
00:00:00.393312 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 36, length 64
00:00:00.404519 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 37, length 64
00:00:00.419675 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 38, length 64
00:00:00.429675 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 39, length 64
00:00:00.441156 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 40, length 64
00:00:00.452403 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 41, length 64
00:00:00.464650 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 42, length 64
00:00:00.476348 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 43, length 64
00:00:00.488131 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 44, length 64
00:00:00.500349 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 45, length 64
00:00:00.512092 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 46, length 64
00:00:00.524783 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 47, length 64
00:00:00.536048 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 48, length 64
00:00:00.548255 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 49, length 64
00:00:00.560479 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 50, length 64
00:00:00.574128 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 51, length 64
00:00:00.584857 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 52, length 64
00:00:00.596145 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 53, length 64
00:00:00.610814 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 54, length 64
00:00:00.620813 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 55, length 64
00:00:00.633268 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 56, length 64
00:00:00.648911 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 57, length 64
00:00:00.660162 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 58, length 64
00:00:00.674858 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 59, length 64
00:00:00.685602 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 60, length 64
00:00:00.696840 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 61, length 64
00:00:00.709077 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 62, length 64
00:00:00.723724 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 63, length 64
00:00:00.733709 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 64, length 64
00:00:00.744717 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 65, length 64
00:00:00.757933 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 66, length 64
00:00:00.770627 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 67, length 64
00:00:00.780920 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 68, length 64
00:00:00.796540 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 69, length 64
00:00:00.808264 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 70, length 64
00:00:00.819999 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 71, length 64
00:00:00.832703 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 72, length 64
00:00:00.845944 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 73, length 64
00:00:00.857175 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 74, length 64
00:00:00.870388 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 75, length 64
00:00:00.880387 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 76, length 64
00:00:00.894816 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 77, length 64
00:00:00.904813 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 78, length 64
00:00:00.917755 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 79, length 64
00:00:00.928526 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 80, length 64
00:00:00.943695 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 81, length 64
00:00:00.953693 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 82, length 64
00:00:00.964224 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 83, length 64
00:00:00.976428 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 84, length 64
00:00:00.992528 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 85, length 64
00:00:01.007217 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 86, length 64
00:00:01.018941 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 87, length 64
00:00:01.029693 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 88, length 64
00:00:01.040448 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 89, length 64
00:00:01.053209 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 90, length 64
00:00:01.066918 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 389, seq 91, length 64
