00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 6, length 64
00:00:00.012188 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 7, length 64
00:00:00.024075 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 8, length 64
00:00:00.036171 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 9, length 64
00:00:00.048384 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 10, length 64
00:00:00.061570 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 11, length 64
00:00:00.071982 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 12, length 64
00:00:00.087498 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 13, length 64
00:00:00.097494 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 14, length 64
00:00:00.108009 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 15, length 64
00:00:00.121158 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 16, length 64
00:00:00.134854 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 17, length 64
00:00:00.144854 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 18, length 64
00:00:00.156850 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 19, length 64
00:00:00.169542 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 20, length 64
00:00:00.179995 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 21, length 64
00:00:00.192541 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 22, length 64
00:00:00.204278 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 23, length 64
00:00:00.216052 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 24, length 64
00:00:00.229697 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 25, length 64
00:00:00.240013 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 26, length 64
00:00:00.252173 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 27, length 64
00:00:00.265878 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 28, length 64
00:00:00.276615 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 29, length 64
00:00:00.290300 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 30, length 64
00:00:00.303500 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 31, length 64
00:00:00.314250 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 32, length 64
00:00:00.325005 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 33, length 64
00:00:00.335976 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 34, length 64
00:00:00.348166 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 35, length 64
00:00:00.360197 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 36, length 64
00:00:00.371980 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 37, length 64
00:00:00.384261 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 741, seq 38, length 64
