00:00:00.000000 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 5, length 64
00:00:00.012240 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 6, length 64
00:00:00.028889 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 7, length 64
00:00:00.044559 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 8, length 64
00:00:00.055757 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 9, length 64
00:00:00.071699 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 10, length 64
00:00:00.082149 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 11, length 64
00:00:00.096329 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 12, length 64
00:00:00.107831 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 13, length 64
00:00:00.119846 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 14, length 64
00:00:00.132002 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 15, length 64
00:00:00.144200 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 16, length 64
00:00:00.155951 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 17, length 64
00:00:00.168220 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 18, length 64
00:00:00.180894 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 19, length 64
00:00:00.197280 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 20, length 64
00:00:00.207975 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 21, length 64
00:00:00.220041 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 22, length 64
00:00:00.232590 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 23, length 64
00:00:00.246892 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 24, length 64
00:00:00.256887 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 25, length 64
00:00:00.268895 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 26, length 64
00:00:00.283268 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 27, length 64
00:00:00.295814 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 28, length 64
00:00:00.307990 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 29, length 64
00:00:00.320207 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 30, length 64
00:00:00.332513 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 31, length 64
00:00:00.345124 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 32, length 64
00:00:00.360081 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 33, length 64
00:00:00.375396 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 34, length 64
00:00:00.385389 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 35, length 64
00:00:00.396502 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 36, length 64
00:00:00.408536 IP 10.0.0.1 > 10.0.0.2: ICMP echo request, id 21946, seq 37, length 64
