00:00:00.000000 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 1, length 64
00:00:00.004269 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 2, length 64
00:00:00.007724 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 3, length 64
00:00:00.012627 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 4, length 64
00:00:00.017637 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 5, length 64
00:00:00.022622 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 6, length 64
00:00:00.029138 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 7, length 64
00:00:00.032545 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 8, length 64
00:00:00.037769 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 9, length 64
00:00:00.042656 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 10, length 64
00:00:00.047717 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 11, length 64
00:00:00.052606 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 12, length 64
00:00:00.057600 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 13, length 64
00:00:00.062658 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 14, length 64
00:00:00.067551 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 15, length 64
00:00:00.072565 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 16, length 64
00:00:00.077585 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 17, length 64
00:00:00.082533 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 18, length 64
00:00:00.087505 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 19, length 64
00:00:00.092424 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 17110, seq 20, length 64
