00:00:00.000000 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 1, length 64
00:00:00.005523 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 2, length 64
00:00:00.008587 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 3, length 64
00:00:00.013218 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 4, length 64
00:00:00.018153 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 5, length 64
00:00:00.023147 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 6, length 64
00:00:00.028094 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 7, length 64
00:00:00.033070 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 8, length 64
00:00:00.038056 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 9, length 64
00:00:00.043009 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 10, length 64
00:00:00.048023 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 11, length 64
00:00:00.053022 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 12, length 64
00:00:00.058037 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 13, length 64
00:00:00.062965 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 14, length 64
00:00:00.067921 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 15, length 64
00:00:00.072863 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 16, length 64
00:00:00.077970 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 17, length 64
00:00:00.082874 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 18, length 64
00:00:00.087825 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 19, length 64
00:00:00.092836 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 20, length 64
00:00:00.097823 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 21, length 64
00:00:00.102818 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 22, length 64
00:00:00.107852 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 23, length 64
00:00:00.112797 IP 10.0.1.1 > 10.0.2.2: ICMP echo request, id 9770, seq 24, length 64
